,FullAddress,long,lat
140,Perleberger Str. 047 10559 Berlin,13.3476116,52.5310004
141,Spenerstr. 037 10557 Berlin,13.3536809,52.5233155
142,Huttenstr. 021 10553 Berlin,13.3190489,52.528433
143,Alt-Moabit 098 10559 Berlin,13.346056,52.5249856
144,Alt-Moabit 037 10555 Berlin,13.3338928,52.5245344
145,Waldstr. 041 10551 Berlin,13.3312687,52.5307147
146,Jagowstr. 010- 11 10555 Berlin,13.3338719,52.521869
147,Alt-Moabit 086 10555 Berlin,13.3421714,52.5254728
148,Kaiserin-Augusta-Allee 101 10553 Berlin,13.3198464,52.5255193
149,Elberfelder Str. 028 10555 Berlin,13.3359837,52.5223923
150,Erasmusstr. 007A 10553 Berlin,13.3262807,52.5265226
151,Havelberger Str. 012 10559 Berlin,13.347163,52.533428
152,Heidestr. 003 10557 Berlin,13.3698784,52.5284886
153,Lützowstr. 068 10785 Berlin,13.3569837,52.5047171
154,Jagowstr. 018 10555 Berlin,13.3340158,52.5232119
155,Stephanstr. 053 10559 Berlin,13.3491457,52.5340713
156,Paulstr. 018 10557 Berlin,13.355741,52.5203401
157,Rostocker Str. 028 10553 Berlin,13.3266202,52.5321925
158,Wiclefstr. 032 10551 Berlin,13.3351957,52.5304805
159,Perleberger Str. 039 10559 Berlin,13.3446681,52.52974
160,Lydia-Rabinowitsch-Str. 005 10557 Berlin,13.3682021,52.531866
161,Klara-Franke-Str. 001 10557 Berlin,13.3602683,52.5329776
162,Hedwig-Porschütz-Str. 006 10557 Berlin,13.3658765,52.5339191
163,Wiclefstr. 006 10551 Berlin,13.3391645,52.5301047
164,Beusselstr. 032A 10553 Berlin,13.3290407,52.5305499
165,Lisa-Fittko-Str. 009 10557 Berlin,13.3658488,52.5313908
166,Zinzendorfstr. 005 10555 Berlin,13.3317572,52.5232053
167,Lützowufer 001 10785 Berlin,13.3597329,52.50592779999999
168,Pohlstr. 087 10785 Berlin,13.3605374,52.5015314
169,Ackerstr. 060 13355 Berlin,13.3868278,52.5371496
170,Brüsseler Str. 030 13353 Berlin,13.3465101,52.545122
171,Ramlerstr. 009 13355 Berlin,13.3940007,52.5473892
172,Edinburger Str. 038 13349 Berlin,13.3482899,52.55616990000001
173,Ghanastr. 013 13351 Berlin,13.3292354,52.5596442
174,Graunstr. 011A 13355 Berlin,13.3989634,52.54513439999999
175,Gottschedstr. 027 13357 Berlin,13.3725241,52.55269759999999
176,Reinickendorfer Str. 098 13347 Berlin,13.3691633,52.5472805
177,Schönwalder Str. 019A 13347 Berlin,13.370861,52.5417415
178,Schwedenstr. 009A 13359 Berlin,13.3731171,52.5575359
