,Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,FullAddress,Unnamed: 0,long,lat
263,01,Mitte,1031340,Kita phorminis,Ackerstr. 076,13355,467986315,160.0,Kindertagesstätte,7387.0,PHORMS Berlin gemeinnützige GmbH,Sonstiger freier Träger,Ackerstr. 076 13355 Berlin,257,13.3850177,52.5380653
264,01,Mitte,1031360,EKT Frischlinge,Tegeler Str. 044,13353,4538849,13.0,Eltern-Initiativ-Kindertagesstätte,639.0,EIKITA Frischlinge e.V.,Elterninitiativ-Kinderladen,Tegeler Str. 044 13353 Berlin,258,13.35843,52.5402195
265,01,Mitte,1031370,Kita Kinderparadies Wedding,Ackerstr. 104,13355,65706645,84.0,Kindertagesstätte,8476.0,IBEB Initiative für Bildung und Erziehung Berlin gemeinnützige GmbH,Sonstiger freier Träger,Ackerstr. 104 13355 Berlin,259,13.3806903,52.5398455
266,01,Mitte,1031380,Kita Weiße Wolke,Groninger Str. 032,13347,81799940,20.0,Eltern-Initiativ-Kindertagesstätte,1408.0,Kita Weiße Wolke e.V.,Elterninitiativ-Kinderladen,Groninger Str. 032 13347 Berlin,260,13.3620719,52.553646
267,01,Mitte,1031400,Kita Arcobaleno,Eulerstr. 019A,13357,50597358,36.0,Kindertagesstätte,1367.0,Ki.E.Ka. e.V.,Sonstiger freier Träger,Eulerstr. 019A 13357 Berlin,261,13.3898794,52.55308609999999
268,01,Mitte,1031420,Kita Ghislan,Bastianstr. 021,13357,46061094,22.0,Kindertagesstätte,7421.0,Ghislan e.V.,Sonstiger freier Träger,Bastianstr. 021 13357 Berlin,262,13.3811395,52.550922
269,01,Mitte,1031430,Kita Malplaquetstraße,Malplaquetstr. 041,13347,50564222,30.0,Kindertagesstätte,7424.0,Kinderland Wedding e.V.,Sonstiger freier Träger,Malplaquetstr. 041 13347 Berlin,263,13.3613434,52.5497093
270,01,Mitte,1031450,Kita Paradiesvögel Genterstraße,Genter Str. 024,13353,030-81010422,29.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Genter Str. 024 13353 Berlin,264,13.3565997,52.54582509999999
271,01,Mitte,1031520,Schillerpark-Kita,Bristolstr. 019,13349,25322324,20.0,Kindertagesstätte,1367.0,Ki.E.Ka. e.V.,Sonstiger freier Träger,Bristolstr. 019 13349 Berlin,265,13.3499517,52.5591685
272,01,Mitte,1031530,Kita Paradiesvögel Plantagenstraße,Plantagenstr. 009,13347,030 56978795,60.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Plantagenstr. 009 13347 Berlin,266,13.3674629,52.5464218
273,01,Mitte,1031550,Kita Groninger Straße 34,Groninger Str. 034,13347,81799940,13.0,Kindertagesstätte,1408.0,Kita Weiße Wolke e.V.,Elterninitiativ-Kinderladen,Groninger Str. 034 13347 Berlin,267,13.3620311,52.5538163
274,01,Mitte,1031560,Kita Rauda,Schulstr. 052-53,13347,030 81476961,40.0,Kindertagesstätte,7781.0,Rauda e. V.,Sonstiger freier Träger,Schulstr. 052-53 13347 Berlin,268,13.3704197,52.5531523
275,01,Mitte,1031570,Kita Paradiesvögel Sparrstraße,Sparrstr. 026,13353,030 41997418,25.0,Kindertagesstätte,7464.0,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,Sparrstr. 026 13353 Berlin,269,13.3603198,52.5415407
276,01,Mitte,1031590,Kita Primavera,Glasgower Str. 025,13349,60944034,25.0,Kindertagesstätte,7877.0,Primavera e. V.,Sonstiger freier Träger,Glasgower Str. 025 13349 Berlin,270,13.3435221,52.556326
277,01,Mitte,1031610,Kita Zauberwald,Grüntaler Str. 030,13357,53164489,22.0,Kindertagesstätte,7518.0,Märchenreise e. V.,Elterninitiativ-Kinderladen,Grüntaler Str. 030 13357 Berlin,271,13.3893247,52.5537873
278,01,Mitte,1031620,Kindergarten Meilenstein,Wriezener Str. 043,13359,64079141,37.0,Eltern-Initiativ-Kindertagesstätte,7921.0,Mitte(l)punkt e. V.,Sonstiger freier Träger,Wriezener Str. 043 13359 Berlin,272,13.3881162,52.556013
279,01,Mitte,1031630,Kindertagesstätte Fiorino,Prinzenallee 045C,13359,68816420,33.0,Kindertagesstätte,7924.0,FamilienZitadelle gemeinnützige GmbH,Sonstiger freier Träger,Prinzenallee 045C 13359 Berlin,273,13.3873197,52.5595862
280,01,Mitte,1031640,Zwergenstube Auenland,Zingster Str. 008- 10,13357,4941526,12.0,Kindertagesstätte,532.0,Arbeitskreis Fidele Pädagogik e.V.,Elterninitiativ-Kinderladen,Zingster Str. 008- 10 13357 Berlin,274,13.3889535,52.5502659
281,01,Mitte,1031650,Montessori-Kinderhaus Wedding,Eulerstr. 018,13357,015730135231,25.0,Kindertagesstätte,7991.0,Montessori-Kinderhaus Wedding e. V.,Sonstiger freier Träger,Eulerstr. 018 13357 Berlin,275,13.3905713,52.5533137
282,01,Mitte,1031680,Kleine RokoKids Kita,Ofener Str. 003A,13349,30345947,20.0,Kindertagesstätte,1367.0,Ki.E.Ka. e.V.,Sonstiger freier Träger,Ofener Str. 003A 13349 Berlin,276,13.34503,52.55576000000001
283,01,Mitte,1031690,Kita Der Kleine Muck,Koloniestr. 007- 8,13357,03048478294,36.0,Kindertagesstätte,8033.0,dtz-bildung und qualifizierung gemeinnützige GmbH,Sonstiger freier Träger,Koloniestr. 007- 8 13357 Berlin,277,13.3774252,52.5550213
